file_name,wheels_visible,human_visible
1,visible,not visible
2,visible,not visible
3,visible,visible
4,visible,not visible
5,visible,not visible
6,visible,not visible
7,visible,not visible
8,visible,not visible
9,visible,not visible
10,visible,not visible
11,visible,not visible
12,visible,not visible
13,visible,not visible
14,visible,not visible
15,visible,not visible
16,visible,not visible
17,visible,visible
18,visible,not visible
19,visible,not visible
20,not visible,not visible
21,visible,not visible
22,visible,not visible
23,not visible,not visible
24,not visible,not visible
25,not visible,not visible
26,visible,not visible
27,visible,not visible
28,visible,not visible
29,visible,not visible
30,visible,not visible
31,not visible,not visible
32,visible,not visible
33,visible,visible
34,not visible,visible
35,visible,not visible
36,not visible,not visible
37,visible,visible
38,visible,not visible
39,visible,not visible
40,not visible,not visible
41,visible,not visible
42,visible,not visible
43,visible,not visible
44,visible,not visible
45,visible,not visible
46,visible,visible
47,visible,not visible
48,not visible,not visible
49,visible,not visible
50,visible,not visible
51,visible,not visible
52,not visible,visible
53,visible,not visible
54,not visible,not visible
55,visible,not visible
56,visible,not visible
57,visible,not visible
58,visible,not visible
59,visible,not visible
60,visible,not visible
61,visible,visible
62,visible,not visible
63,visible,not visible
64,not visible,not visible
65,visible,not visible
66,visible,not visible
67,visible,not visible
68,visible,not visible
69,visible,not visible
70,visible,not visible
71,visible,visible
72,not visible,not visible
73,visible,visible
74,visible,not visible
75,visible,not visible
76,visible,not visible
77,visible,not visible
78,visible,visible
79,visible,not visible
80,visible,not visible
81,visible,not visible
82,visible,not visible
83,visible,not visible
84,visible,not visible
85,visible,not visible
86,visible,not visible
87,not visible,visible
88,visible,not visible
89,not visible,not visible
90,visible,not visible
91,visible,not visible
92,visible,not visible
93,visible,visible
94,visible,not visible
95,visible,not visible
96,visible,not visible
97,visible,visible
98,visible,not visible
99,visible,not visible
100,visible,not visible
101,visible,not visible
102,not visible,not visible
103,visible,not visible
104,visible,not visible
105,visible,visible
106,visible,not visible
107,visible,visible
108,visible,not visible
109,visible,not visible
110,visible,visible
